created_at,tweet_txt,sentiment_analysis
2019-04-20 23:59:07,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:57:00,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:56:40,b'RT @SandipGhose: The best part of both #RahulGandhi and #PriyankaGandhi campaigning in tandem is - if even that doesn\xe2\x80\x99t boost Congress\xe2\x80\x99 tal\xe2\x80\xa6',Positive
2019-04-20 23:55:09,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:52:03,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:50:30,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:48:14,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:46:25,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:44:47,"b'Union Minister #PiyushGoyal says, #RahulGandhi will have to contest next election from a neighbouring country.\xe2\x80\xa6 https://t.co/7hVxJgdfdq'",Nuetral
2019-04-20 23:40:46,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:40:34,b'RT @Jainpankajkasan: #RaulVinci is it #rahulgandhi',Nuetral
2019-04-20 23:40:32,b'RT @Jainpankajkasan: #RaulVinci is it #congresspresident #rahulgandhi',Nuetral
2019-04-20 23:36:52,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:34:20,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:33:46,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:33:22,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:32:00,b'#RaulVinci is it #congresspresident #rahulgandhi',Nuetral
2019-04-20 23:31:34,b'#RaulVinci is it #rahulgandhi',Nuetral
2019-04-20 23:29:52,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:28:45,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:28:32,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:27:53,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
