created_at,tweet_txt,sentiment_analysis
2019-04-20 23:52:05,b'Hi Friends i made the song for respected Narendra Modi ji\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\nPlease listen and share if u really like...\xe2\x80\xa6 https://t.co/DoETBowYsX',Positive
2019-04-20 23:04:51,b'RT @gopalkagarwal: Modinomics Part-3 (A) : Financial Inclusion. To understand #NarendraModi #economic policies over the last 5 yrs &amp; its ef\xe2\x80\xa6',Positive
2019-04-20 23:00:19,"b'Calling the SP-BSP alliance a ""fake friendship"", PM #NarendraModi has claimed that the \xe2\x80\x98political opportunism\xe2\x80\x99 of M\xe2\x80\xa6 https://t.co/eWGVMhjMOw'",Negative
2019-04-20 22:42:17,b'Had a feelings that @INCIndia is waiting if @narendramodi decides to flight #IndiaElections2019 from 2 seats then\xe2\x80\xa6 https://t.co/MZtWMuMwz7',Nuetral
2019-04-20 22:22:37,b'#NarendraModi lashes out at BSP-SP alliance and BJP asks Rahul Gandhi to come clean on his #citizenship\xe2\x80\xa6 https://t.co/QVcMesI0wS',Positive
2019-04-20 21:28:16,b'So apt for India at this moment when #NarendraModi #PragyaSinghThakur #BJPWithKasab #BJPInsultsKarkare\xe2\x80\xa6 https://t.co/OQ9VNYL2nR',Positive
2019-04-20 21:22:30,"b""RT @AMC4EVER: What is #AmitShah's master-plan for #NarendraModi victory in #Varanasi ? #India #BJP #Modi #JaiHind https://t.co/WFI6cZa9js\nh\xe2\x80\xa6""",Nuetral
2019-04-20 21:22:26,b'RT @AMC4EVER: #Russia honours PM #NarendraModi with highest State Honour - #India #BJP #Modi #JaiHind https://t.co/YqXkWN2IdT https://t.co/\xe2\x80\xa6',Nuetral
2019-04-20 21:18:06,b'RT @shweta_nig: So this is our new era? #NarendraModi #GSTBoostForBiz https://t.co/b3zp77daCz',Positive
2019-04-20 21:03:14,b'Vote for @tweetanupam \n\nDont waste your vote on TMC and CPIM. Both are united at national platform as part of   Mah\xe2\x80\xa6 https://t.co/p6zD0EWByl',Negative
2019-04-20 20:46:14,b'Why no other media person is amazing  what @abhisar_sharma is asking to #NarendraModi #BJP\n\n#HemantKarkare\xe2\x80\xa6 https://t.co/lpVIKW3Fza',Positive
2019-04-20 20:30:29,b'RT @Iamanirudhsethi: We are Buying #NarendraModi #AmitabhBachchan signed cheque or Document\nWe are Buying #Historical Newspapers\nV are Buyi\xe2\x80\xa6',Nuetral
2019-04-20 20:27:43,"b""RT @indiaonlinepoll: Let's Change 4 a Change, Lets Vote 4 a Better India. Dont Not Miss Ur Vote &amp; Ur Family Vote. @narendramodi @RahulGandh\xe2\x80\xa6""",Positive
2019-04-20 20:24:55,b'You know how many Indian Politicians are there in @madametussauds ? Or should I ask how many Indian Leaders from Po\xe2\x80\xa6 https://t.co/j0xVTRt6hO',Positive
2019-04-20 20:15:58,"b'RT @NEELisPREET: #Read my #Article ""Crisis which the Indian Armed Forces are Facing"" also #LIKE &amp; #SHARE it by giving your #Feedback in the\xe2\x80\xa6'",Nuetral
2019-04-20 20:13:45,b'RT @MANJULtoons: #ImranKhan #NarendraModi #Pakistan #MahaGathbandhan #LokSabhaElections2019 \nMy #cartoon for @firstpost\nMore: https://t.co/\xe2\x80\xa6',Positive
2019-04-20 20:09:56,"b'#Read my #Article ""Crisis which the Indian Armed Forces are Facing"" also #LIKE &amp; #SHARE it by giving your #Feedback\xe2\x80\xa6 https://t.co/SAhU5S83kc'",Nuetral
2019-04-20 20:09:45,"b""Check out this #YouTube video to see #ModiGovt's achievements\n\nhttps://t.co/M4qOxDrWBT\n\n#TransformingIndia\xe2\x80\xa6 https://t.co/ViRJiwDMCA""",Nuetral
2019-04-20 20:08:52,"b'RT @airnewsalerts: PM #NarendraModi says if he returns to power, corruption, dynastic politics, loot in the name of the poor and politics o\xe2\x80\xa6'",Negative
2019-04-20 20:04:16,"b'@narendramodi Sir, \nIn addition to Demonetization/Unemployment/GST and so on ...., Severity of terrorism,poverty, h\xe2\x80\xa6 https://t.co/StsYiai2my'",Nuetral
2019-04-20 20:02:36,"b""Now a TV ad for Linc Pens is targeting children with the tagline 'Choice of #ExamWarriors'. This is the name of a b\xe2\x80\xa6 https://t.co/PCPF9XIFMF""",Nuetral
2019-04-20 19:44:25,b'RT @indiaonlinepoll: The MAHABHARAT of India. MODI vs RAHUL Who is going to make it in FINALS? Should MODI be given a chance for the 2nd ti\xe2\x80\xa6',Nuetral
2019-04-20 19:39:17,"b""@bprerna Do you wanna know the power of @narendramodi? There are BJP &amp; #NamoRally going on around the world!\nHere's\xe2\x80\xa6 https://t.co/5KRAXCB7SR""",Nuetral
2019-04-20 19:36:42,b'https://t.co/TdaKvGNl6Z\n#AyegaTohModiHi \n#NarendraModi\n#modi\nShare it and Watch guys!!',Nuetral
2019-04-20 19:35:14,b'RT @indiaonlinepoll: The MAHABHARAT of India. MODI vs RAHUL Who is going to make it in FINALS? Should MODI be given a chance for the 2nd ti\xe2\x80\xa6',Nuetral
2019-04-20 19:34:58,"b'PM #NarendraModi says if he returns to power, corruption, dynastic politics, loot in the name of the poor and polit\xe2\x80\xa6 https://t.co/qpqaqd9XyH'",Negative
2019-04-20 19:28:29,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 19:20:53,b'Ticket to #SadhviPragya symbol against Congress for equating 5000 year Old Civilisation with Terrorism: \nPM #NarendraModi Ji.',Positive
2019-04-20 19:14:30,b'Freewelfare is ready to PAY any amount if SOMEONE ON THIS EARTH MAKES DELHI A STATE.\nDELHI VOTERS: THIS IS NOT POSS\xe2\x80\xa6 https://t.co/3PE2WWrTpq',Positive
2019-04-20 19:09:36,b'RT @freewelfare1: Freewelfare will first start with emergency calling numbers facility.\nCall many number any time.\nWill have 70 Patrons on\xe2\x80\xa6',Positive
2019-04-20 19:09:33,b'RT @gopalkagarwal: Modinomics Part-3 (A) : Financial Inclusion. To understand #NarendraModi #economic policies over the last 5 yrs &amp; its ef\xe2\x80\xa6',Positive
2019-04-20 19:08:53,b'RT @freewelfare1: DELHI FAKE NEWS: Every third billboard in Delhi has Picture of Mr. Arvind Kejriwal and a message that he will make DELHI\xe2\x80\xa6',Negative
2019-04-20 19:08:11,b'DELHI FAKE NEWS: Every third billboard in Delhi has Picture of Mr. Arvind Kejriwal and a message that he will make\xe2\x80\xa6 https://t.co/4EiIUlNECk',Negative
2019-04-20 19:07:27,"b'RT @firstpost: ""The world has never pointed a finger at our great culture of thousands of years. These people have done the disgusting sin\xe2\x80\xa6'",Negative
2019-04-20 19:05:17,b'Because the opposition wants to install a puppet as PM so that they can easily bossover. They know #NarendraModi ji\xe2\x80\xa6 https://t.co/CA9lvP8SfV',Positive
2019-04-20 19:04:54,"b'RT @firstpost: ""The world has never pointed a finger at our great culture of thousands of years. These people have done the disgusting sin\xe2\x80\xa6'",Negative
2019-04-20 19:03:43,"b""Many Congratulations India. We dont even know if a PM aspirant is Indian or not!?.Yeah the world's second largest d\xe2\x80\xa6 https://t.co/yGNeO8icBd""",Positive
2019-04-20 19:02:42,b'Zakir Naik: Tens of millions of dollars spend to propagate against me\n#ZakirNaik #ZakirNaikMuslimProfessional\xe2\x80\xa6 https://t.co/5bGE6okPh7',Nuetral
2019-04-20 19:00:27,"b'#AisiTaisiDemocracy fame stand up comic #VarunGrover on #NarendraModi, ...\n\n#LallanTop  https://t.co/dV0KCl403S'",Positive
2019-04-20 18:58:08,b'Freewelfare will first start with emergency calling numbers facility.\nCall many number any time.\nWill have 70 Patro\xe2\x80\xa6 https://t.co/RfTCctSWd0',Positive
2019-04-20 18:56:45,"b""Dear @narendramodi, when will #India stop torture #Muslim? Answer pls. Otherwise we won't forgive you.\n\n@PMOIndia\xe2\x80\xa6 https://t.co/6Lzyh46efD""",Nuetral
2019-04-20 18:56:19,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
